Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR22054;Station de FORBACH;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;7.0;7.1916903073286;µg-m3;97.0;100.0;97.0;R;1;49.18742;6.910867
2023/01/01 00:00:00;2023/12/31 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23003;LA MEGRETAIS;Périurbaine;PM2.5;Industrielle;Oui;mesures fixes;Moy. annuelle;9.0;8.99455696202532;µg-m3;99.0;100.0;99.0;R;1;47.322705;-2.039243
2023/01/01 00:00:00;2023/12/31 23:59:59;AIR PAYS DE LA LOIRE;FR52ZRE01;ZR PAYS-DE-LA-LOIRE;FR23068;FROSSAY;Rurale près des villes;PM2.5;Industrielle;Oui;mesures fixes;Moy. annuelle;7.0;7.2329990539261955;µg-m3;100.0;61.0;60.0;N;-1;47.247353;-1.936522
2023/01/01 00:00:00;2023/12/31 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23070;S ETIENNE DE MONTLUC;Périurbaine;PM2.5;Industrielle;Oui;mesures fixes;Moy. annuelle;8.0;7.816769533814842;µg-m3;96.0;90.0;87.0;R;1;47.283127;-1.783082
2023/01/01 00:00:00;2023/12/31 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23107;LA CHAUVINIERE;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;9.0;8.95431914649537;µg-m3;100.0;100.0;100.0;R;1;47.252777;-1.573333
2023/01/01 00:00:00;2023/12/31 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23110;LEON BLUM;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;8.0;8.098852679116321;µg-m3;95.0;99.0;94.0;R;1;47.264109;-2.250153
2023/01/01 00:00:00;2023/12/31 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAR01;ZAR ANGERS-LOIRE;FR23120;BEAUX ARTS;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;9.0;9.263148868054015;µg-m3;100.0;100.0;100.0;R;1;47.468498;-0.555925
2023/01/01 00:00:00;2023/12/31 23:59:59;AIR PAYS DE LA LOIRE;FR52ZRE01;ZR PAYS-DE-LA-LOIRE;FR23124;LA TARDIERE;Rurale nationale;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;8.0;7.738740009402899;µg-m3;98.0;99.0;97.0;R;1;46.656625;-0.743381
2023/01/01 00:00:00;2023/12/31 23:59:59;AIR PAYS DE LA LOIRE;FR52ZRE01;ZR PAYS-DE-LA-LOIRE;FR23152;DELACROIX;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;9.0;8.887936362595857;µg-m3;100.0;100.0;100.0;R;1;46.660649;-1.43686
2023/01/01 00:00:00;2023/12/31 23:59:59;AIR PAYS DE LA LOIRE;FR52ZRE01;ZR PAYS-DE-LA-LOIRE;FR23177;SAINT-DENIS D'ANJOU;Rurale régionale;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;8.0;8.267449049690862;µg-m3;100.0;100.0;100.0;R;1;47.788334;-0.444756
2023/01/01 00:00:00;2023/12/31 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23178;PARSCAU DU PLESSIS;Périurbaine;PM2.5;Industrielle;Oui;mesures fixes;Moy. annuelle;8.0;8.0333294891016;µg-m3;99.0;100.0;99.0;R;1;47.318894;-2.066876
2023/01/01 00:00:00;2023/12/31 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAR02;ZAR LE-MANS;FR23182;SOURCES;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;9.0;8.589782608695623;µg-m3;95.0;99.0;95.0;R;1;47.971144;0.221356
2023/01/01 00:00:00;2023/12/31 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23188;CIM BOUTEILLERIE;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;9.0;9.059771036061841;µg-m3;100.0;100.0;100.0;R;1;47.222188;-1.537432
2023/01/01 00:00:00;2023/12/31 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23238;LEVOYER;Urbaine;PM2.5;Industrielle;Oui;mesures fixes;Moy. annuelle;8.0;8.436706047490961;µg-m3;98.0;100.0;98.0;R;1;47.194158;-1.581689
2023/01/01 00:00:00;2023/12/31 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23239;LES COUETS;Urbaine;PM2.5;Industrielle;Oui;mesures fixes;Moy. annuelle;7.0;7.151313953488352;µg-m3;98.0;100.0;98.0;R;1;47.185938;-1.591504
2023/01/01 00:00:00;2023/12/31 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23249;CAME;Périurbaine;PM2.5;Industrielle;Oui;mesures fixes;Moy. annuelle;9.0;8.826675817890647;µg-m3;100.0;100.0;100.0;R;1;47.321129;-2.127344
2023/01/01 00:00:00;2023/12/31 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23251;FRERES GONCOURT;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;10.0;9.741494974874398;µg-m3;94.0;96.0;91.0;R;1;47.233557;-1.564811
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO SUD;FR93ZAG02;ZAG NICE;FR24009;CANNES BROUSSAILLES;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;9.0;9.226365795724465;µg-m3;99.0;98.0;96.0;R;1;43.558389;7.005919
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR24018;MANOSQUE;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;9.0;8.500642570281121;µg-m3;99.0;100.0;99.0;R;1;43.835784;5.786131
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO SUD;FR93ZAG02;ZAG NICE;FR24021;PEILLON;Périurbaine;PM2.5;Industrielle;Oui;mesures fixes;Moy. annuelle;11.0;11.458955309178176;µg-m3;100.0;100.0;100.0;R;1;43.786583;7.373283
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR24033;GAP COMMANDERIE;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;12.0;11.639167929145803;µg-m3;98.0;100.0;98.0;R;1;44.555193;6.073015
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO SUD;FR93ZAG02;ZAG NICE;FR24035;NICE PROMENADE;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;10.0;9.753040500649458;µg-m3;97.0;99.0;97.0;R;1;43.689291;7.242074
