Commune,pm10,pm25,no2
CRISENOY,15,9,10
CROISSY BEAUBOURG,17,10,23
CROISSY SUR SEINE,19,10,23
CROSNE,17,10,21
CROUY SUR OURCQ,15,9,7
CUISY,17,9,13
D HUISON LONGUEVILLE,14,8,10
DAGNY,20,8,7
DAMMARIE LES LYS,15,9,15
DAMMARTIN EN GOELE,19,10,17
DAMMARTIN EN SERVE,15,8,8
DAMMARTIN SUR TIGEAUX,15,8,8
DAMPIERRE EN YVELINES,14,8,12
DAMPMART,16,9,14
DANNEMARIE,14,8,7
DANNEMOIS,15,8,10
DARVAULT,15,8,8
DAUMAZAN SUR ARIZE,,,
DAVRON,15,9,13
DEUIL LA BARRE,23,11,22
DHUISY,15,9,7
DIANT,15,8,5
DOMONT,21,10,17
DONNEMARIE DONTILLY,15,8,5
DORMELLES,15,8,6
DOUE,16,8,15
DOURDAN,17,9,21
DOUY LA RAMEE,17,9,9
DRANCY,21,11,28
DRAVEIL,17,10,23
DROCOURT,17,9,11
DUGNY,23,12,30
EAUBONNE,22,11,20
ECHARCON,15,9,17
ECHOUBOULAINS,15,8,6
ECOUEN,22,11,20
ECQUEVILLY,16,9,15
EGLIGNY,16,9,6
EGLY,16,9,20
EGREVILLE,15,8,6
ELANCOURT,15,9,15
EMANCE,15,8,7
EMERAINVILLE,17,10,20
ENGHIEN LES BAINS,22,11,23
ENNERY,20,9,14
EPIAIS LES LOUVRES,20,10,23
EPIAIS RHUS,18,9,11
EPINAY CHAMPLATREUX,21,10,17
EPINAY SOUS SENART,16,9,16
EPINAY SUR ORGE,17,10,27
EPINAY SUR SEINE,23,12,26
EPONE,16,9,14
ERAGNY,20,10,20
ERMONT,22,11,23
ESBLY,16,9,14
ESCOSSE,,,
ESMANS,15,8,6
ETAMPES,15,8,12
ETIOLLES,17,9,19
ETRECHY,14,8,14
ETREPILLY,20,9,9
EVECQUEMONT,17,9,13
EVERLY,15,9,5
EVRY,26,14,54
EVRY GREGY SUR YERRE,16,9,14
EZANVILLE,22,10,18
FABAS,,,
FAREMOUTIERS,15,9,8
FAVIERES,15,8,9
FAVRIEUX,15,9,10
FAY LES NEMOURS,15,8,6
FERICY,14,8,7
FEROLLES ATTILLY,15,9,14
FERRIERES EN BRIE,16,9,15
FEUCHEROLLES,15,9,13
FLACOURT,15,8,8
FLAGY,15,8,6
FLEURY EN BIERE,14,8,10
FLEURY MEROGIS,17,9,24
FLEXANVILLE,16,8,8
FLINS NEUVE EGLISE,15,8,7
FLINS SUR SEINE,16,9,18
FOLLAINVILLE DENNEMONT,16,9,11
FONTAINE FOURCHES,15,9,5
FONTAINE LA RIVIERE,15,8,9
FONTAINE LE PORT,14,8,8
FONTAINEBLEAU,15,9,15
FONTAINS,15,8,6
FONTENAILLES,15,8,7
FONTENAY AUX ROSES,18,10,26
FONTENAY EN PARISIS,22,10,19
FONTENAY LE FLEURY,18,9,20
FONTENAY LE VICOMTE,15,8,17
